,Value,Successor,Res_Cap1,Res_Cap2,Res_Cap3,Res_Cap4,Time,Best Order,Best Successor,"r[j]-OC[j,c,t]"
137963,145.0,"[154055, 139304, 137962, 152724, 139414, 153945]",1,6,3,8,1,4,153945,220.0
153945,0.0,['end'],0,5,3,7,0,0,0,0.0
138073,145.0,"[152834, 139524, 154055, 154165, 139414, 138072]",1,6,2,9,1,4,154055,220.0
154055,0.0,['end'],0,5,2,8,0,0,0,0.0
154165,0.0,['end'],0,5,1,9,0,0,0,0.0
104668,422.0,"[119429, 106119, 120650, 120760, 106009, 104667]",3,9,3,10,3,1,119429,100.0
119429,267.0,"[135521, 120770, 119428, 134190, 120880, 135411]",2,9,2,10,2,4,135411,220.0
134190,145.0,"[150282, 135531, 134189, 148951, 135641, 150172]",1,9,1,10,1,4,150172,220.0
148951,0.0,['end'],0,9,0,10,0,0,0,0.0
120650,267.0,"[136742, 121991, 120649, 135411, 122101, 136632]",2,8,3,9,2,4,136632,220.0
135411,145.0,"[151393, 151503, 136752, 135410, 150172, 136862]",1,8,2,9,1,4,151393,220.0
150172,0.0,['end'],0,8,1,9,0,0,0,0.0
136632,145.0,"[151393, 138083, 152614, 152724, 137973, 136631]",1,7,3,8,1,4,152614,220.0
151393,0.0,['end'],0,7,2,8,0,0,0,0.0
152614,0.0,['end'],0,6,3,7,0,0,0,0.0
120760,267.0,"[135521, 122211, 136742, 136852, 122101, 120759]",2,8,2,10,2,4,136742,220.0
